A	h
105.089	-0.102125
104.98	-0.107125
104.94	-0.112125
105.267	-0.117125
106.866	-0.12225
107.979	-0.127125
110.665	-0.13225
112.743	-0.13725
114.858	-0.14225
116.97	-0.14725
118.816	-0.15225
120.373	-0.15725
122.02	-0.16225
123.647	-0.16725
125.18	-0.17225
126.985	-0.17725
128.842	-0.18225
130.445	-0.18725
132.112	-0.19225
134.328	-0.19725
136.252	-0.20225
138.76	-0.20725
140.283	-0.21225
142.115	-0.21725
143.442	-0.22225
144.861	-0.22725
146.543	-0.23225
147.877	-0.23725
149.317	-0.242375
150.713	-0.24725
152.144	-0.252375
153.967	-0.257375
154.957	-0.262375
156.471	-0.267375
158.334	-0.272375
159.695	-0.277375
161.205	-0.282375
162.877	-0.287375
164.886	-0.292375
167.346	-0.297375
168.246	-0.302375
170.324	-0.307375
172.31	-0.312375
173.766	-0.317375
176.313	-0.322375
178.931	-0.327375
180.434	-0.332375
181.345	-0.337375
182.837	-0.342375
184.346	-0.347375
186.102	-0.352375
187.264	-0.357375
188.586	-0.362375
190.203	-0.367375
191.612	-0.372375
192.775	-0.37725
194.301	-0.382375
196.662	-0.38725
198.863	-0.392375
199.96	-0.39725
201.873	-0.402375
203.397	-0.40725
206.138	-0.41225
207.731	-0.41725
208.867	-0.42225
211.031	-0.42725
212.421	-0.43225
213.654	-0.43725
215.895	-0.44225
217.294	-0.44725
219.483	-0.45225
222.502	-0.45725
224.624	-0.46225
226.201	-0.46725
229.038	-0.47225
229.576	-0.47725
230.643	-0.48225
231.675	-0.48725
233.558	-0.49225
235.392	-0.49725
237.765	-0.50225
239.757	-0.507125
242.998	-0.517125
244.486	-0.522125
278.505	-0.602125
278.505	-0.597375
278.505	-0.592375
278.505	-0.587375
278.505	-0.582375
278.505	-0.577375
278.505	-0.572375
278.505	-0.567375
278.505	-0.562375
278.505	-0.557375
278.505	-0.552375
278.505	-0.547375
278.505	-0.542375
278.505	-0.537375
278.505	-0.532375
278.505	-0.527375
278.505	-0.5225
278.505	-0.517375
278.505	-0.5125
278.505	-0.5075
278.505	-0.5025
278.505	-0.4975
278.505	-0.4925
278.505	-0.4875
278.505	-0.4825
278.505	-0.4775
278.505	-0.4725
